               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.050085,            0.038632,           0.0069071,             0.72407,             0.57459,             0.63483,             0.29401,            0.053262,            0.031324,           0.0087792,            0.008812,            0.008812,            0.008812
                  38,            0.050531,             0.03993,           0.0067756,             0.70939,             0.60863,             0.66069,             0.31151,            0.051666,            0.031312,           0.0084014,            0.008779,            0.008779,            0.008779
                  39,            0.049851,            0.040181,           0.0068933,             0.72821,             0.62242,             0.67527,             0.31357,            0.052413,            0.031551,           0.0087507,            0.008746,            0.008746,            0.008746
                  40,            0.047384,            0.038367,           0.0067045,             0.74078,             0.59911,             0.67028,              0.3184,            0.052325,            0.031765,           0.0086444,            0.008713,            0.008713,            0.008713
                  41,            0.048478,            0.038158,           0.0066975,               0.787,             0.58359,             0.68032,             0.32134,            0.052487,            0.031451,           0.0080154,             0.00868,             0.00868,             0.00868
                  42,            0.048537,            0.038302,            0.006767,             0.81656,              0.5703,             0.67674,             0.32797,             0.05148,            0.031951,           0.0092001,            0.008647,            0.008647,            0.008647
                  43,            0.049058,            0.038947,           0.0065163,             0.71934,             0.59343,             0.66426,             0.31558,            0.053046,            0.031757,           0.0082592,            0.008614,            0.008614,            0.008614
                  44,            0.048833,            0.038108,           0.0059371,             0.75692,             0.59835,             0.66417,             0.32283,            0.051785,            0.031301,           0.0080519,            0.008581,            0.008581,            0.008581
                  45,            0.048021,            0.037066,            0.005962,             0.76916,             0.61628,             0.65689,             0.30888,            0.053292,            0.031433,           0.0091948,            0.008548,            0.008548,            0.008548
                  46,            0.048748,            0.040238,           0.0057307,             0.72885,             0.61556,             0.66609,             0.30074,            0.052116,            0.031321,           0.0093981,            0.008515,            0.008515,            0.008515
                  47,             0.04938,            0.039778,           0.0055782,             0.67756,             0.62153,             0.64998,             0.30353,             0.05175,            0.030764,             0.00981,            0.008482,            0.008482,            0.008482
                  48,            0.048014,            0.038034,           0.0054625,             0.72388,             0.57128,             0.63707,             0.29601,            0.051969,             0.03168,           0.0092122,            0.008449,            0.008449,            0.008449
                  49,            0.047026,            0.036469,           0.0059578,             0.72282,             0.60784,              0.6711,             0.31989,            0.052026,             0.03155,           0.0090463,            0.008416,            0.008416,            0.008416
                  50,            0.047311,            0.038479,            0.005504,             0.73214,             0.58975,             0.63919,              0.2883,            0.052085,            0.031916,           0.0099865,            0.008383,            0.008383,            0.008383
                  51,            0.047039,             0.03751,           0.0052451,             0.73956,             0.57578,             0.65631,             0.31223,            0.053105,             0.03126,           0.0091925,             0.00835,             0.00835,             0.00835
                  52,            0.047596,            0.036829,           0.0055993,             0.79034,             0.59002,             0.68103,             0.32914,            0.051681,            0.031651,           0.0081811,            0.008317,            0.008317,            0.008317
                  53,            0.046702,            0.036845,             0.00519,             0.71482,             0.62048,             0.66891,             0.32762,            0.051415,            0.032103,           0.0091641,            0.008284,            0.008284,            0.008284
                  54,            0.045852,            0.036044,           0.0057424,             0.75177,             0.64811,             0.68026,              0.3313,            0.051366,            0.031877,            0.008478,            0.008251,            0.008251,            0.008251
                  55,            0.047193,            0.040385,           0.0053343,             0.76378,             0.60284,             0.66529,             0.31707,            0.052417,            0.032392,           0.0085523,            0.008218,            0.008218,            0.008218
                  56,            0.046678,            0.036982,           0.0051413,             0.78499,              0.5762,              0.6607,              0.3269,            0.050726,            0.033037,           0.0087352,            0.008185,            0.008185,            0.008185
                  57,            0.046036,            0.037213,           0.0049325,             0.73413,             0.58873,             0.66625,             0.32588,             0.05117,            0.032038,            0.010126,            0.008152,            0.008152,            0.008152
                  58,            0.046757,            0.038603,           0.0045012,              0.7699,             0.60094,             0.68673,             0.32374,            0.050533,            0.032146,           0.0089346,            0.008119,            0.008119,            0.008119
                  59,            0.045466,            0.035755,           0.0047517,             0.77774,             0.61106,              0.6789,             0.33407,            0.049776,             0.03174,           0.0087277,            0.008086,            0.008086,            0.008086
                  60,            0.044831,            0.035073,            0.004494,             0.76743,             0.61823,             0.67982,             0.34015,            0.050498,            0.031398,            0.008729,            0.008053,            0.008053,            0.008053
                  61,            0.046216,            0.038558,           0.0047467,             0.73144,             0.62192,              0.6945,             0.33104,            0.050736,            0.031397,           0.0080437,             0.00802,             0.00802,             0.00802
                  62,            0.045211,            0.037928,           0.0044386,             0.78339,             0.61826,             0.70236,             0.34507,            0.051635,            0.032045,           0.0077986,            0.007987,            0.007987,            0.007987
                  63,            0.045815,            0.036796,           0.0044375,             0.78121,             0.61195,             0.68598,             0.33747,            0.051788,             0.03229,            0.008121,            0.007954,            0.007954,            0.007954
                  64,            0.045323,             0.03676,           0.0039816,             0.76345,             0.62283,              0.6878,              0.3219,             0.05107,            0.031557,           0.0084964,            0.007921,            0.007921,            0.007921
                  65,            0.044413,            0.035043,           0.0043497,             0.70025,             0.65067,             0.68186,             0.32265,             0.05094,             0.03158,           0.0089745,            0.007888,            0.007888,            0.007888
                  66,            0.044808,            0.036608,           0.0041314,             0.76701,             0.60421,              0.6908,             0.32253,            0.051326,            0.031569,           0.0085262,            0.007855,            0.007855,            0.007855
                  67,            0.045223,            0.034779,           0.0039798,             0.78456,             0.63522,             0.68327,             0.33343,            0.050911,            0.031345,           0.0077121,            0.007822,            0.007822,            0.007822
                  68,            0.044018,            0.036257,           0.0040805,             0.71162,             0.63447,             0.67311,             0.33557,            0.050211,             0.03111,           0.0086771,            0.007789,            0.007789,            0.007789
                  69,            0.044286,            0.036168,           0.0041724,             0.74438,             0.60674,             0.67513,             0.32401,            0.051129,            0.031147,           0.0087178,            0.007756,            0.007756,            0.007756
                  70,            0.044783,            0.034796,           0.0040161,             0.71654,             0.60718,             0.66552,             0.32422,            0.052067,            0.031558,           0.0087759,            0.007723,            0.007723,            0.007723
                  71,            0.043195,            0.034419,           0.0041885,             0.82949,             0.61033,             0.70115,             0.33989,            0.049675,            0.031336,           0.0073301,             0.00769,             0.00769,             0.00769
                  72,            0.044481,            0.035842,            0.004091,             0.77534,             0.61942,              0.6929,             0.33792,            0.050921,            0.031198,           0.0075114,            0.007657,            0.007657,            0.007657
                  73,            0.043596,            0.034719,            0.004477,             0.77671,             0.60281,             0.67263,             0.32786,            0.050218,            0.031505,           0.0080311,            0.007624,            0.007624,            0.007624
                  74,            0.042789,             0.03482,           0.0040392,             0.76703,             0.61469,             0.68313,             0.33077,            0.050748,            0.031447,           0.0084374,            0.007591,            0.007591,            0.007591
                  75,            0.043392,            0.034648,           0.0044157,             0.82145,             0.63543,              0.7022,             0.34369,            0.050702,            0.031231,            0.007841,            0.007558,            0.007558,            0.007558
                  76,            0.044719,            0.034949,           0.0044112,             0.80437,             0.64814,             0.69772,             0.34483,            0.051345,            0.031943,           0.0075342,            0.007525,            0.007525,            0.007525
                  77,            0.043426,            0.035378,           0.0040196,             0.81761,             0.62089,              0.6934,             0.34969,            0.050227,            0.031587,           0.0075319,            0.007492,            0.007492,            0.007492
                  78,            0.043081,            0.035362,           0.0038316,              0.7878,             0.62083,             0.69508,             0.35028,            0.050036,            0.031408,           0.0070774,            0.007459,            0.007459,            0.007459
                  79,            0.042417,            0.032786,           0.0038896,             0.72383,             0.65549,             0.70001,              0.3499,            0.050389,            0.031535,           0.0083578,            0.007426,            0.007426,            0.007426
                  80,            0.041956,            0.033926,           0.0037814,             0.79337,             0.62985,             0.68897,             0.33657,            0.049978,            0.031722,           0.0083129,            0.007393,            0.007393,            0.007393
                  81,            0.042924,            0.034035,           0.0043344,             0.79135,             0.62372,             0.69951,             0.34132,            0.049354,            0.030849,           0.0080132,             0.00736,             0.00736,             0.00736
                  82,            0.042501,            0.035824,           0.0035327,             0.76713,             0.60857,             0.67027,             0.33911,            0.049851,             0.03131,           0.0077879,            0.007327,            0.007327,            0.007327
                  83,            0.043161,            0.034594,           0.0036655,             0.81829,             0.62138,             0.69274,             0.34065,            0.050707,            0.031774,           0.0075668,            0.007294,            0.007294,            0.007294
                  84,            0.042869,            0.032221,           0.0037262,              0.7829,             0.64527,             0.69326,             0.33776,            0.049829,            0.032055,            0.007618,            0.007261,            0.007261,            0.007261
                  85,            0.042396,             0.03351,           0.0039802,             0.79126,             0.63216,             0.69927,             0.34139,            0.050659,            0.031466,           0.0079875,            0.007228,            0.007228,            0.007228
                  86,            0.042727,             0.03615,            0.003825,             0.77059,             0.63447,             0.68165,             0.33699,            0.049064,            0.031348,           0.0086138,            0.007195,            0.007195,            0.007195
                  87,            0.042492,            0.034854,           0.0036118,             0.79474,             0.60906,             0.67758,             0.32125,            0.051182,            0.031341,            0.009095,            0.007162,            0.007162,            0.007162
